,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name
0,18.0,8,307.0,130.0,3504.0,12.0,70.0,1.0,"""chevrolet chevelle malibu"""
1,15.0,8,350.0,165.0,3693.0,11.5,70.0,1.0,"""buick skylark 320"""
2,18.0,8,318.0,150.0,3436.0,11.0,70.0,1.0,"""plymouth satellite"""
3,16.0,8,304.0,150.0,3433.0,12.0,70.0,1.0,"""amc rebel sst"""
4,17.0,8,302.0,140.0,3449.0,10.5,70.0,1.0,"""ford torino"""
5,15.0,8,429.0,113.5,4341.0,10.0,70.0,1.0,"""ford galaxie 500"""
6,14.0,8,454.0,220.0,4354.0,9.0,70.0,1.0,"""chevrolet impala"""
7,14.0,8,440.0,215.0,4312.0,12.0,70.0,1.0,"""plymouth fury iii"""
8,14.0,8,455.0,225.0,4425.0,10.0,70.0,1.0,"""pontiac catalina"""
9,15.0,8,390.0,190.0,3850.0,8.5,70.0,1.0,"""amc ambassador dpl"""
10,15.0,8,383.0,170.0,3563.0,10.0,70.0,1.0,"""dodge challenger se"""
11,14.0,8,340.0,160.0,3609.0,8.0,70.0,1.0,"""plymouth 'cuda 340"""
12,15.0,8,263.15384615384613,150.0,3761.0,9.5,70.0,1.0,"""chevrolet monte carlo"""
13,14.0,8,455.0,225.0,3086.0,10.0,70.0,1.0,"""buick estate wagon (sw)"""
14,24.0,4,113.0,95.0,2372.0,15.0,70.0,3.0,"""toyota corona mark ii"""
15,22.0,6,198.0,95.0,2833.0,15.5,70.0,1.0,"""plymouth duster"""
16,18.0,6,199.0,97.0,2774.0,12.0,70.0,1.0,"""amc hornet"""
17,21.0,6,200.0,85.0,3433.0,16.0,70.0,1.0,"""ford maverick"""
19,26.0,4,97.0,46.0,1835.0,20.5,70.0,2.0,"""volkswagen 1131 deluxe sedan"""
20,25.0,4,110.0,87.0,2672.0,17.5,70.0,2.0,"""peugeot 504"""
